,1wt,27,2an,2aw,2o,37c,37r,37v,3i,4i,4ow,51,5si,5so,5ti,63,6sn,6sw,72,73,7iv/r/d,82n/wo,82wi,8w,9w
bc1,0.2625149188859804,0.11760651277158504,0.08605934599867424,0.09948020981529386,0.17209676976376578,0.3905683782376756,0.4582919548260955,0.4124245740360495,0.2475730335520721,0.05549840498528456,0.049810380715584704,0.1470087209945448,0.0068894083396161395,0.010539198178248168,0.08670279064973657,0.28752439423856857,0.00018943567928816666,9.483337551698866e-05,0.11653733597996994,0.13061007499998714,0.004337837869060011,0.7432848714082693,0.0642278629185295,0.0,0.0
bc2,0.16354130792849436,0.10662930908611185,0.04878213481155169,0.0595874216560869,0.0808480364807785,0.21005088512714054,0.23948926150032318,0.22743982255026804,0.13984218275627086,0.11648053374618798,0.1303802141510569,0.1568192985078492,0.008906624190398034,0.008010887509514324,0.0830574808986908,0.18141952154895802,0.00012876139777964697,2.2596759893731857e-05,0.0823546577438968,0.089567318386862,0.0056421534442120105,0.5910180141992684,0.0661759052033162,4.930380657631324e-32,4.930380657631324e-32
bc3a,0.19150779545695418,0.1282466593476347,0.1906989969423285,0.08369798708168127,0.03973892466807244,0.18031237692912996,0.18892636934735754,0.17374807404445744,0.17981814283875736,0.08306370700186189,0.12456785721096715,0.15327594756460428,0.12705173347305276,0.1322746550467071,0.12571007937088857,0.08394387660683796,0.003629285803175874,0.001231472874578284,0.014452716275247973,0.03672674056099424,0.008705902791162992,0.04333466931122026,0.00553335645127303,1.9721522630525295e-31,4.930380657631324e-32
bc3b,0.23898612114697568,0.16723976281466477,0.22534783716107715,0.1336670566058329,0.08283891234708383,0.2353520030273367,0.2583162650542347,0.2367129421166421,0.24304553924003314,0.09651985736854722,0.11201019165092622,0.11297338803222663,0.10222392430241019,0.08043577934324288,0.08571314929875336,0.10094092701075717,0.0030053785368694018,0.0008033977671828201,0.023381976549716712,0.03911641701878222,0.008428991559368035,0.06208683467663127,0.0086784996572497,0.0,0.0
bc4,0.2920519232074453,0.22763837452216876,0.23693529536640598,0.19421272491242828,0.15580775518646006,0.15329994240143674,0.16692427501066123,0.15257234385384785,0.1719413375891747,0.17275882744316226,0.2192746291635262,0.17853338433843335,0.13158230293706039,0.1447604574517337,0.1281288246696857,0.060315772844214785,0.004568892811154516,0.0017929679415825725,0.03770039489533783,0.04690732082589163,0.009182684167290331,0.11286567039993681,0.016502367276009948,4.930380657631324e-32,0.0
bc5i,0.0015177263164238767,0.01135598408462151,0.004694674930926075,0.003952064154341341,0.0030161615278645904,0.20269576475795528,0.09886315280319152,0.1062697185176046,0.014083463458222157,0.014954269546846435,0.001826602426397918,0.10761645311919404,0.07997465090871483,0.07571989924818617,0.07012632052430615,0.071905511629596,0.031017258735240423,0.05811363186118072,0.02317144262870571,0.0983865462943957,0.1796484861245941,0.010175423674396701,0.0074067588918239995,0.0031066166577580455,0.0009485853520629494
bc5o,0.002316117803105074,0.014786643792036952,0.01018508948684916,0.005436224728821528,0.005691432291788092,0.13794869943691818,0.07397692516571522,0.08233345591284458,0.01229189090763605,0.037024356217807614,0.0038118064088366985,0.2948624360686617,0.14523931676485716,0.36972849463952423,0.23931260701948623,0.07084624558624215,0.1307228476640947,0.1815424247251829,0.026315017523861197,0.0910614861511668,0.22220831320188217,0.013165120333496734,0.005118566033836404,0.0013535020149712783,9.521732229283608e-05
bc5t,0.003804902959041425,0.020930604410893342,0.0133541444694831,0.0061916238805476064,0.006157067272025843,0.19092830221963175,0.08361055556131024,0.09145627514665261,0.01207392992068341,0.040214571441720776,0.004076944018928518,0.15948965834882955,0.07664007440378963,0.19379358362561677,0.12211264899626542,0.07041513852298613,0.17939557042296503,0.22644619200435684,0.041502609626088316,0.09884094891215336,0.1698443779047476,0.01429913231649794,0.00884117584558862,0.0018654875090024763,0.0002073306276537054
bc6,0.008682922476650933,0.1011416210900787,0.011033568145341866,0.012416479940088664,0.009207349995078369,0.04836930298668207,0.02647271309905757,0.034392078296934456,0.015313291844275295,0.020483922888366018,0.008551678545258316,0.21562462232666083,0.1895321787054654,0.06592584923638717,0.09335970168778641,0.16317619319321872,0.4068010509772015,0.4268054893043433,0.15420029569114752,0.12408941315361159,0.10356628121530448,0.33426898751853784,0.1640891641689043,0.22517700782441982,0.3151500064063784
bc7,0.001045556190627982,0.26910831834313015,0.0027010985409947406,0.005828561175305213,0.003037755530259478,0.08298177864033947,0.048717553044632565,0.07051640521396352,0.014134994856664636,0.0038187805030436787,0.0010522057572687777,0.11453484330961082,0.02232835263729523,0.0035824433355123673,0.009564302221003365,0.02626286627542608,0.033451261905288306,0.04863152172889084,0.037851702827266354,0.04051708423689653,0.1651488476424049,0.6152700163629076,0.3380729593634549,0.20374154591143037,0.08625663084880085
bc8/9,0.007668700031700683,0.06523167507294361,0.008981345561989552,0.010443595224496489,0.006855933470588544,0.025124965503065214,0.01850251258016801,0.02131609949965334,0.010595185090016467,0.005165326541474563,0.002144257947673418,0.09559630617170121,0.021358181275444664,0.006991718934018914,0.011517666832757577,0.025900297401163883,0.042671191718492166,0.04318362514526801,0.12780929417500736,0.13481037178289842,0.06007984216573169,0.8362024568447199,0.3414432350522992,0.3005548477635454,0.1205033665433232
xbc,0.0008065886668155093,0.007886078250083752,0.0033000554384891947,0.0027279085495519463,0.0020499953538393443,0.05592072851187067,0.02772608728642008,0.03322650371445989,0.009016993637449431,0.013917650051698982,0.0015857887329723853,0.09886455265027286,0.06898780732927819,0.08302958015779469,0.06692399908798952,0.07597393313788753,0.027316511421833306,0.01870031023116138,0.01031317113861652,0.05913049137139974,0.09842424439905785,0.006729042638233345,0.002044181897102387,0.0007542366411326775,2.0265587622533423e-05
